INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
94253950,94253950,0,0,3,94253950,7558472410,2499,112,0,0,94253950,2499,0,0,0,0,3,5713,108.212,80.181,272.410,344.386
94256449,94256449,0,0,4,94256449,7558472522,2499,112,0,0,94256449,2499,0,0,0,0,3,5712,108.387,80.345,271.971,344.001
94258948,94258948,0,0,3,94258948,7558472668,2499,146,0,0,94258948,2499,0,0,0,0,3,5712,108.577,80.418,271.678,343.736
94261447,94261447,0,0,4,94261447,7558472780,2499,112,0,0,94261447,2499,0,0,0,0,3,5712,108.753,80.592,271.262,343.341
94263946,94263946,0,0,13,94263946,7558504357,2499,31577,0,29077,94263946,2499,0,0,0,0,3,5712,108.944,80.669,270.969,343.090
94266445,94266445,0,0,4,94266445,7558504536,2499,179,0,0,94266445,2499,0,0,0,0,3,5712,109.119,80.834,270.529,342.703
94268944,94268944,0,0,4,94268944,7558504660,2499,124,0,0,94268944,2499,0,0,0,0,3,5711,109.311,80.922,270.235,342.496
94271443,94271443,0,0,4,94271443,7558504788,2499,128,0,0,94271443,2499,0,0,0,0,3,5711,109.488,81.050,269.819,342.124
94273942,94273942,0,0,4,94273942,7558504891,2499,103,0,0,94273942,2499,0,0,0,0,3,5711,109.679,81.153,269.525,341.875
94276441,94276441,0,0,4,94276441,7558505000,2499,109,0,0,94276441,2499,0,0,0,0,3,5711,109.856,81.289,269.084,341.492
94278940,94278940,0,0,4,94278940,7558505110,2499,110,0,0,94278940,2499,0,0,0,0,3,5711,110.048,81.384,268.790,341.218
94281439,94281439,0,0,3,94281439,7558505223,2499,113,0,0,94281439,2499,0,0,0,0,3,5710,110.226,81.568,268.372,340.818
94283938,94283938,0,0,3,94283938,7558505321,2499,98,0,0,94283938,2499,0,0,0,0,3,5710,110.419,81.668,268.077,340.541
94286437,94286437,0,0,4,94286437,7558505430,2499,109,0,0,94286437,2499,0,0,0,0,3,5710,110.597,81.815,267.636,340.211
94288936,94288936,0,0,4,94288936,7558505541,2499,111,0,0,94288936,2499,0,0,0,0,3,5710,110.790,81.937,267.340,339.954
94291435,94291435,0,0,4,94291435,7558505660,2499,119,0,0,94291435,2499,0,0,0,0,3,5710,110.969,82.127,266.922,339.598
94293934,94293934,0,0,3,94293934,7558505759,2499,99,0,0,94293934,2499,0,0,0,0,3,5709,111.162,82.217,266.626,339.360
94296433,94296433,0,0,14,94296433,7558537475,2499,31716,0,29216,94296433,2499,0,0,0,0,3,5709,111.341,82.405,266.185,339.019
